,director_and_writers,rating,title,year
61,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,WALL·E,2008
62,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.4,Viva - A Vida é uma Festa,2017
63,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.4,Princesa Mononoke,1997
64,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.4,Beleza Americana,1999
65,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,Testemunha de Acusação,1957
66,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.4,Batman: O Cavaleiro das Trevas Ressurge,2012
67,"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",8.4,Oldboy,2003
68,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,"Aliens, o Resgate",1986
69,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,Era uma Vez na América,1984
70,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,O Barco: Inferno no Mar,1981
71,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,Cidadão Kane,1941
72,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3,Um Corpo Que Cai,1958
73,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,Intriga Internacional,1959
74,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,Coração Valente,1995
75,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,Cães de Aluguel,1992
76,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,Your Name.,2016
77,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,O Retorno de Jedi,1983
78,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,"M, O Vampiro de Dusseldorf",1931
79,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.3,Dangal,2016
80,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,Réquiem para um Sonho,2000
81,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,Amadeus,1984
82,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.3,Como Estrelas na Terra,2007
83,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,Lawrence da Arábia,1962
84,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.3,O Fabuloso Destino de Amélie Poulain,2001
85,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.3,Laranja Mecânica,1971
86,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,Brilho Eterno de uma Mente Sem Lembranças,2004
87,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.3,Pacto de Sangue,1944
88,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.3,Taxi Driver: Motorista de Táxi,1976
89,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,3 Idiotas,2009
90,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,2001: Uma Odisséia no Espaço,1968
91,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,Toy Story,1995
92,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,Cantando na Chuva,1952
93,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.3,Nascido Para Matar,1987
94,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.3,O Sol é para Todos,1962
95,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,Bastardos Inglórios,2009
96,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.3,Ladrões de Bicicletas,1948
97,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.3,O Garoto,1921
98,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.3,Golpe de Mestre,1973
99,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,Toy Story 3,2010
